Name,Latitude,Longitude,ritual_complexity,mortuary_index,distance_km,nearest_volcano,nearest_eruptions
Maohi,-17.6,-149.4,1.4545454545454546,1.3333333333333333,61.5,Teahitia,4
Pohnpei,6.9,158.2,1.0909090909090908,1.0,1321.2,Ambitle,1
Seniang,-16.5,167.4,0.9090909090909091,1.3333333333333333,81.7,Ambrym,57
Varisi,-6.8,156.7,1.2727272727272727,1.6666666666666667,123.3,Loloru,6
Aeta,15.3,120.4,1.2,2.0,19.6,Pinatubo,9
Ajie,-21.3,165.6,1.1818181818181819,1.6666666666666667,446.5,Yasur,3
Alune,-3.1,128.5,1.0,1.0,220.3,Banda Api,23
Ami,23.4,121.4,1.1,1.0,169.8,Kueishantao,2
Aneityum,-20.2,169.8,1.125,1.0,82.9,Yasur,3
Anuta,-11.6,169.8,1.25,2.0,351.7,Suretamatai,3
Arosi,-10.3,161.3,1.2,1.3333333333333333,207.9,Savo,3
Ata Tana 'Ai,-8.6,122.6,1.1111111111111112,2.0,18.0,Egon,4
Atayal,24.4,121.3,0.8181818181818182,1.3333333333333333,82.2,Kueishantao,2
Atoni,-9.7,124.3,0.7272727272727273,0.6666666666666666,135.0,Sirung,11
Belep,-19.7,163.6,0.8181818181818182,1.6666666666666667,601.2,Traitor's Head,1
Bellona,-11.3,159.8,1.3636363636363635,1.3333333333333333,241.3,Savo,3
Berawan,3.8,114.5,1.3636363636363635,2.0,903.7,Colo,3
Besemah,-4.1,103.3,1.2727272727272727,1.3333333333333333,21.9,Dempo,32
Biak,-1.0,136.0,1.0909090909090908,1.6666666666666667,784.3,Banda Api,23
Bontok,17.1,121.1,1.0,1.3333333333333333,165.3,Cagua,1
Bughotu,-8.5,159.8,0.7,1.3333333333333333,70.1,Savo,3
Buka,-5.2,154.6,0.9,1.0,120.7,Billy Mitchell,2
Bukidnon,8.2,125.0,0.9090909090909091,0.6666666666666666,78.4,Ragang,8
Bunun,23.5,120.5,1.0,1.0,209.7,Kueishantao,2
Casiguran Dumagat,16.3,122.0,0.6363636363636364,0.3333333333333333,214.1,Cagua,1
Chamorro,13.5,144.8,0.9090909090909091,1.0,122.5,NW Rota-1,1
Cheke Holo,-8.3,159.6,1.0,1.6666666666666667,95.4,Savo,3
Chuuk,7.3,151.6,1.4545454545454546,1.6666666666666667,1101.5,NW Rota-1,1
Dobuans,-9.6,150.8,0.9090909090909091,0.6666666666666666,9.0,Dawson Strait Group,1
Dusun,5.7,116.4,0.8181818181818182,0.6666666666666666,870.8,Colo,3
Eastern Sumbanese,-9.9,120.3,1.4545454545454546,1.6666666666666667,134.4,Inierie,1
Eastern Toraja,-1.9,120.6,1.5454545454545454,2.0,223.0,Colo,3
Erromango,-18.8,169.2,0.6363636363636364,1.0,6.5,Traitor's Head,1
Fijians,-17.8,178.0,1.4545454545454546,1.6666666666666667,146.6,Nabukelevu,3
Futuna,-14.3,-178.0,0.9090909090909091,1.0,292.8,Niuafo'ou,8
Futuna-Aniwa,-19.5,170.2,1.0,1.0,79.0,Yasur,3
Ga'dang,17.2,121.5,0.7272727272727273,0.6666666666666666,131.4,Cagua,1
Goodenough Island,-9.3,150.2,0.36363636363636365,0.6666666666666666,82.6,Dawson Strait Group,1
Hawaiians,19.6,-155.5,0.9090909090909091,1.0,17.9,Mauna Loa,110
Iban,1.2,111.6,1.1818181818181819,1.3333333333333333,873.2,Muria,1
Ifaluk,7.2,144.5,1.0909090909090908,1.0,823.5,NW Rota-1,1
Ifugao,16.7,121.2,1.4545454545454546,1.6666666666666667,195.5,Cagua,1
Isneg,18.1,121.2,0.6363636363636364,1.3333333333333333,98.5,Cagua,1
Kalinga,17.5,121.3,1.0909090909090908,1.3333333333333333,118.5,Cagua,1
Kaoka,-9.7,160.7,0.9090909090909091,1.3333333333333333,115.5,Savo,3
Kapingamarangi,1.0,154.8,1.0,1.0,579.1,Ambitle,1
Karo,3.5,98.3,1.4545454545454546,2.3333333333333335,37.5,Singkut,1
Kayan,2.1,115.1,1.2727272727272727,1.3333333333333333,765.2,Colo,3
Kedang,-8.2,123.8,1.0909090909090908,1.0,33.2,Lewotolok,11
Kei,-5.8,132.8,0.0,,312.9,Serua,10
Kelabit,3.7,115.5,1.0909090909090908,1.3333333333333333,802.5,Colo,3
Kiribati,-1.2,174.7,1.3636363636363635,1.6666666666666667,1417.6,Tinakula,24
Kodi,-9.6,119.0,1.8,2.0,155.9,Sangeang Api,20
Kosrae,5.3,163.0,1.2857142857142858,1.0,1471.8,Ambitle,1
Kwaio,-9.0,160.9,0.8181818181818182,1.3333333333333333,119.5,Savo,3
Kwara'ae,-8.7,160.8,0.9090909090909091,1.6666666666666667,117.8,Savo,3
Laboya,-9.7,119.4,1.1818181818181819,1.6666666666666667,170.7,Sangeang Api,20
Lakalai,-5.4,150.4,1.2727272727272727,2.0,23.3,Witori,19
Land Dayak,0.2,110.5,1.1818181818181819,1.6666666666666667,759.5,Muria,1
Lau,-8.3,160.8,1.0909090909090908,2.0,141.8,Savo,3
Lifou,-21.0,167.2,1.0,1.6666666666666667,285.6,Yasur,3
Main Reef Islands,-10.3,166.3,0.875,1.0,55.1,Tinakula,24
Manam,-4.1,145.0,0.8181818181818182,1.6666666666666667,4.7,Manam,41
Mangaia,-21.9,-157.9,1.0,1.0,1056.2,Moua Pihaa,2
Mangareva,-23.1,-135.0,0.9090909090909091,1.3333333333333333,633.4,Adams Seamount,4
Manggarai,-8.6,120.4,1.1818181818181819,1.6666666666666667,14.9,Ranakah,2
Manihiki-Rakahanga,-10.4,-161.0,1.3333333333333333,2.0,972.6,Vailulu'u,3
Manus (Titan),-2.2,147.2,0.7272727272727273,1.3333333333333333,26.0,St. Andrew Strait,4
Māori,-39.0,175.8,1.1818181818181819,1.0,22.7,Tongariro,76
Mare,-21.5,168.0,0.9090909090909091,1.3333333333333333,228.9,Gemini-Oscostar,1
Marovo,-8.5,157.8,1.75,2.0,58.0,Kavachi,31
Marquesas,-9.8,-139.0,1.0909090909090908,2.0,1354.4,Rocard,3
Marshall Islands,7.1,171.7,0.9090909090909091,0.6666666666666666,2051.0,Tinakula,24
Mekeo,-8.6,146.6,0.6363636363636364,0.6666666666666666,174.7,Lamington,3
Mentawai,-1.4,98.9,1.0,0.6666666666666666,194.7,Tandikat-Singgalang,3
Merina,-18.9,47.5,1.2727272727272727,1.6666666666666667,85.4,Itasy Volcanic Field,2
Minahasa,1.3,124.9,1.2727272727272727,1.3333333333333333,7.0,Mahawu,7
Moken,11.7,98.3,0.7272727272727273,1.6666666666666667,487.4,Barren Island,18
Moriori,-43.8,-176.5,1.4444444444444444,1.0,828.9,Ruapehu,64
Mota,-13.8,167.7,1.1818181818181819,1.0,24.8,Suretamatai,3
Motu,-9.5,147.1,0.7272727272727273,1.3333333333333333,130.5,Lamington,3
Mussau,-1.4,149.6,0.5,0.6666666666666666,271.6,Central Bismarck Sea,1
Nage,-8.7,121.2,0.9090909090909091,1.3333333333333333,13.0,Ebulobo,7
Nendo,-10.7,165.9,0.5454545454545454,0.6666666666666666,36.5,Tinakula,24
Ngaju,-1.7,114.0,1.0909090909090908,0.6666666666666666,647.3,Muria,1
Nggela,-9.1,160.2,0.6363636363636364,0.6666666666666666,41.9,Savo,3
Nguna,-17.4,168.4,1.0,1.0,64.7,Kuwae,12
Nias,1.2,97.5,1.0909090909090908,1.0,233.8,Sorikmarapi,7
Niue,-19.1,-169.9,1.6666666666666667,1.5,478.1,Unnamed,9
Nuaulu,-3.2,129.0,1.1818181818181819,2.0,176.6,Banda Api,23
Nukuoro,3.8,155.0,1.0,0.6666666666666666,889.0,Ambitle,1
Ontong Java,-5.5,159.7,0.5454545454545454,1.3333333333333333,403.9,Savo,3
Paiwan,22.5,120.9,1.4545454545454546,2.0,253.4,Iraya,3
Palau,7.4,134.6,1.3636363636363635,1.6666666666666667,943.1,Leonard Range,3
Palawan Batak,10.1,119.1,1.2727272727272727,1.3333333333333333,442.3,Kanlaon,31
Pukapuka,-10.9,-165.8,1.0909090909090908,1.3333333333333333,510.8,Vailulu'u,3
Puyuma,22.8,121.1,1.3636363636363635,2.0,243.0,Kueishantao,2
Rapa Nui,-27.1,-109.4,1.6363636363636365,1.3333333333333333,1038.0,Southern EPR at 18.5°S (Segment I),3
Rarotonga,-21.2,-159.8,1.0909090909090908,1.0,1220.1,Teahitia,4
Rejang,-3.4,102.8,1.5,1.5,24.6,Kaba,11
Rennell,-11.6,160.3,0.9090909090909091,1.3333333333333333,279.6,Savo,3
Roti,-10.7,123.2,1.0909090909090908,2.3333333333333335,239.4,Egon,4
Rotuma,-12.5,177.1,1.3,1.3333333333333333,576.8,Taveuni,34
Roviana,-8.1,157.5,1.3636363636363635,2.0,110.0,Simbo,1
Sa'a,-9.6,161.5,1.2,1.6666666666666667,191.6,Savo,3
Sama Dilaut (Tawi-Tawi),5.1,119.8,0.8181818181818182,1.3333333333333333,573.7,Makaturing,2
Samoa,-13.9,-171.8,1.0,1.0,84.6,Savaii,12
Savu,-10.5,121.9,1.0909090909090908,1.0,181.2,Iya,8
Simbo,-8.3,156.5,1.1818181818181819,1.3333333333333333,2.4,Simbo,1
Siraya,22.9,120.4,1.0,0.6666666666666666,267.4,Kueishantao,2
Small Islands,-16.1,167.5,1.0909090909090908,1.6666666666666667,68.3,Ambrym,57
South Pentecost,-15.9,168.2,0.45454545454545453,0.6666666666666666,39.8,Ambrym,57
Southern Toraja,-3.1,119.8,1.5454545454545454,2.0,383.1,Colo,3
Subanun,7.1,122.1,0.9090909090909091,1.3333333333333333,251.9,Makaturing,2
Tagbanuwa,9.5,118.4,1.1818181818181819,1.3333333333333333,527.8,Kanlaon,31
Tanala,-20.9,47.6,0.9090909090909091,1.3333333333333333,227.9,Itasy Volcanic Field,2
Tanimbar,-7.5,131.5,1.5,2.5,210.4,Serua,10
Tanna,-19.5,169.4,1.3636363636363635,1.6666666666666667,6.1,Yasur,3
Taumako,-9.9,167.2,0.7777777777777778,0.3333333333333333,162.1,Tinakula,24
Tetum,-9.3,125.2,1.0,1.3333333333333333,147.5,Sirung,11
Tikopia,-12.3,168.8,1.3636363636363635,1.3333333333333333,220.4,Suretamatai,3
Tinguian,17.6,120.8,0.9090909090909091,1.0,156.1,Cagua,1
To'abaita,-8.4,160.6,1.0909090909090908,2.0,118.1,Savo,3
Toba Batak,2.3,99.0,1.3636363636363635,2.3333333333333335,117.5,Singkut,1
Tokelau,-9.4,-171.2,1.1818181818181819,1.0,490.1,Savaii,12
Tolai,-4.4,152.2,0.8181818181818182,0.6666666666666666,17.1,Rabaul,19
Tonga,-21.2,-175.2,1.0909090909090908,1.3333333333333333,74.4,Hunga Tonga-Hunga Ha'apai,7
Tongareva,-9.0,-158.0,0.45454545454545453,0.0,1336.3,Vailulu'u,3
Trobriand Islands,-8.5,151.1,1.0909090909090908,2.3333333333333335,126.9,Dawson Strait Group,1
Tsou,23.4,120.7,1.2727272727272727,0.6666666666666666,204.6,Kueishantao,2
Ulithi,10.1,139.7,1.2727272727272727,1.6666666666666667,744.4,NW Rota-1,1
Uvea,-13.3,-176.2,1.3333333333333333,3.0,263.0,Niuafo'ou,8
Visayans,11.2,122.4,1.2727272727272727,1.3333333333333333,118.7,Kanlaon,31
Waropen,-2.3,136.5,0.9090909090909091,1.3333333333333333,775.1,Banda Api,23
Wogeo,-3.2,144.1,0.36363636363636365,0.6666666666666666,70.7,Kadovar,1
Yami,22.0,121.5,,,178.3,Iraya,3
Yap,9.5,138.1,1.0909090909090908,0.6666666666666666,921.0,NW Rota-1,1
