block_label,block_size_deg,block_size_km,seed,xgb_mean_auc,xgb_std_auc,xgb_mean_tss,xgb_std_tss,rf_mean_auc,rf_std_auc,rf_mean_tss,rf_std_tss,xgb_mvr_pass,rf_mvr_pass
40km,0.36036036036036034,40.0,375,0.7355272426886191,0.09715538975271225,0.4515691818526875,0.19416046180765212,0.7417898667724632,0.08904163955257295,0.47723559390554404,0.1660822906840263,0,0
40km,0.36036036036036034,40.0,39691,0.7529449698397255,0.08120910170102452,0.47986028043385787,0.19629238122360437,0.7588022247653701,0.0709546467136803,0.4950649942772099,0.14129362265632373,1,1
40km,0.36036036036036034,40.0,10883,0.7348521003410716,0.07636145193489301,0.4190576296552508,0.14127584350017597,0.750020080583815,0.07516156886721276,0.4858919846089691,0.14372568884312698,0,1
40km,0.36036036036036034,40.0,44036,0.7359182713295509,0.09276037807647979,0.43914490260421724,0.17854518823558682,0.7437437983068637,0.08769630271844446,0.4730215719440677,0.1586377205704023,0,0
40km,0.36036036036036034,40.0,5621,0.7267664105569167,0.08260967437959892,0.42323591324942667,0.14794046737789807,0.7506344992192442,0.08318554956255951,0.4741117318956933,0.15575118583557557,0,1
40km,0.36036036036036034,40.0,21924,0.7068004516232876,0.08696634198433072,0.4085724367558302,0.14934644346608256,0.7393079325232835,0.08273282938823769,0.4824863863115616,0.14584201708259883,0,0
40km,0.36036036036036034,40.0,22830,0.7487289389547619,0.06896953476371456,0.4632264111914989,0.13834909892276134,0.7530662744380949,0.06304671077975105,0.46658378975435194,0.1306280142420995,0,1
40km,0.36036036036036034,40.0,41287,0.7000091166068495,0.07926423880384242,0.39394004336604327,0.14715575705823855,0.7233130819839926,0.08159628438068722,0.43982547699785285,0.15387650068201364,0,0
40km,0.36036036036036034,40.0,17010,0.6959035191668571,0.10549864423144015,0.38019566270831406,0.16470017825892558,0.7364502284468225,0.09575030799901536,0.43872571372595487,0.1621934338891084,0,0
40km,0.36036036036036034,40.0,27291,0.7279466786559886,0.06361417669895071,0.4342487618343919,0.1499178473085908,0.7440658732165251,0.06348626099070395,0.4764422611258324,0.14410879936627083,0,0
40km,0.36036036036036034,40.0,20828,0.7241797923026065,0.08610480963671643,0.4096542475663806,0.14812238442144476,0.7444899103019705,0.07511465922909889,0.47422652296701895,0.14893146575427943,0,0
40km,0.36036036036036034,40.0,25916,0.7489713302100721,0.0774948787675572,0.4764120091445199,0.1642380561300161,0.7434847715265298,0.06651351451089217,0.4538121149737255,0.12981625468137367,0,0
40km,0.36036036036036034,40.0,8971,0.7078867233177244,0.07988005456545574,0.4032636567769236,0.1667650817141808,0.734868308299902,0.08551989026397919,0.4627845053872619,0.1573965580688441,0,0
40km,0.36036036036036034,40.0,26138,0.7377230626732396,0.08625378795912991,0.42673065031685536,0.1422453021661281,0.7374151901954713,0.07324722254040943,0.446735386567119,0.12128536543987065,0,0
40km,0.36036036036036034,40.0,32581,0.7092773284943907,0.09182262882982418,0.4051460810188717,0.14816816500703256,0.733986955816786,0.08922417497632187,0.45657998310939646,0.15402771080900926,0,0
40km,0.36036036036036034,40.0,36226,0.7209405594528515,0.09567584640011523,0.4217354578242329,0.17731945044070319,0.7429205488638553,0.0965594503684665,0.4706816614977526,0.16041757758970293,0,0
40km,0.36036036036036034,40.0,33850,0.7134637619345041,0.09454030867259927,0.41474361789775366,0.1737893248425616,0.7238521256231475,0.09560019755840177,0.44584051111103273,0.15573212790446514,0,0
40km,0.36036036036036034,40.0,39446,0.7400899035923194,0.06704473651908893,0.4560760366895521,0.13729621551033314,0.7478168675444605,0.07089746476546374,0.4598747975087571,0.15666671034698224,0,0
40km,0.36036036036036034,40.0,41432,0.7196687668860635,0.0755131242242856,0.4061485943989682,0.13525023844318,0.7519672771543945,0.07337248564640658,0.475106011806965,0.14386653812647995,0,1
40km,0.36036036036036034,40.0,11903,0.721198994379891,0.06731168562729072,0.4158251941323378,0.12153999201580461,0.7417875807102469,0.07052953142984894,0.449951847213588,0.13410200097428626,0,0
50km_baseline,0.45,49.95,375,0.7683274718090318,0.06945780607056873,0.5071691403363339,0.1666511136144421,0.7418760566615134,0.0699586178242535,0.45777043685285734,0.12592667359010826,1,0
50km_baseline,0.45,49.95,39691,0.7490006961262734,0.05990517006448457,0.46041424229298133,0.14114153685286415,0.742014320663328,0.0745658502165291,0.4608293249983787,0.15465239482456244,0,0
50km_baseline,0.45,49.95,10883,0.742475015402707,0.0714243067652952,0.45070158332512394,0.16561953811560934,0.7391973085729345,0.08214250813418258,0.45610427578994284,0.16026671070884294,0,0
50km_baseline,0.45,49.95,44036,0.7522316659281035,0.054487136098116784,0.4664983234920436,0.11662618427091656,0.7413167667079714,0.074164826376105,0.44818278624404984,0.1397913089240942,1,0
50km_baseline,0.45,49.95,5621,0.7516198889923109,0.06573222834312835,0.4759788672990486,0.14014482562396136,0.7429688681843216,0.06330234614621098,0.45396050594403387,0.14062449837228624,1,0
50km_baseline,0.45,49.95,21924,0.7285909030288924,0.06905322778319115,0.43146827133708854,0.1368697895588425,0.7334434356694235,0.07687155465870278,0.4537841058609634,0.1446852085113343,0,0
50km_baseline,0.45,49.95,22830,0.7742397970969346,0.0722541969440977,0.48681308771012066,0.14296791544467802,0.7467257643262879,0.06317491763291111,0.46987350527380495,0.13256975199486581,1,0
50km_baseline,0.45,49.95,41287,0.7387013742314756,0.045671322354011785,0.44076469482948166,0.10984346007909036,0.7493675924652379,0.07330155195286456,0.4581775552528615,0.15080058740189892,0,0
50km_baseline,0.45,49.95,17010,0.7377017050711574,0.062335535550806315,0.4575486251747279,0.12642004078227423,0.7311298434210698,0.08029615117831927,0.42445579306131503,0.16255738198132288,0,0
50km_baseline,0.45,49.95,27291,0.7531874857097209,0.039464071440616345,0.46277311553727785,0.09074314877111114,0.7545297209216055,0.06807600108177467,0.44536695813409033,0.133919610572426,1,1
50km_baseline,0.45,49.95,20828,0.7354581802563157,0.0670928067957224,0.4349275980889343,0.13993091762715532,0.7420145342119131,0.07173733195012888,0.4570014734363278,0.1331965267818483,0,0
50km_baseline,0.45,49.95,25916,0.7741694484435158,0.05454197513755429,0.5001640471142585,0.1306008754441036,0.7595744709898035,0.07411905302216097,0.4857387186163476,0.1393744640572479,1,1
50km_baseline,0.45,49.95,8971,0.7519831150014958,0.048693277016847406,0.4779353063485289,0.13037762719465787,0.7616830436002145,0.08263570619570684,0.4940370943428877,0.15932992707472882,1,1
50km_baseline,0.45,49.95,26138,0.7551388202716154,0.05864552376633425,0.4577003218129879,0.12693436783308487,0.7335006929601676,0.07193502425412865,0.44603005133418794,0.12830200841435518,1,0
50km_baseline,0.45,49.95,32581,0.7533938803609015,0.07631315495234832,0.47219169892348917,0.14586762416345095,0.7475179785420021,0.07516858566504653,0.46604194329617715,0.14560924409862025,1,0
50km_baseline,0.45,49.95,36226,0.7667446179122779,0.05204390791753767,0.4858894968225652,0.13064692794926208,0.7586519684152488,0.07214885306547428,0.4642481812173898,0.14887984305518706,1,1
50km_baseline,0.45,49.95,33850,0.7403873139437441,0.07513040302745964,0.47356851719918447,0.15121089748831507,0.732770562487119,0.08316946028960902,0.45863760525832103,0.15384836951588782,0,0
50km_baseline,0.45,49.95,39446,0.759401658207816,0.05215253055809716,0.46535854118581677,0.11854890269857497,0.7539872101784798,0.08582551984496375,0.44584558776880445,0.16645335478752865,1,1
50km_baseline,0.45,49.95,41432,0.7428899989071833,0.059968350681677336,0.45888860463167935,0.14364608251237077,0.744843791495956,0.07331242792978952,0.4692757405037087,0.14642520797503578,0,0
50km_baseline,0.45,49.95,11903,0.7423242573747395,0.06316660497096224,0.4378268514056753,0.1231803238652084,0.730370216483983,0.07785883444403595,0.43761126789428334,0.14210543850034077,0,0
60km,0.5405405405405406,60.0,375,0.7660836223033348,0.09966073313487299,0.5133133713529286,0.21018983548223888,0.7452904710146752,0.11461719845120025,0.45042975681372044,0.19198124509705222,1,0
60km,0.5405405405405406,60.0,39691,0.7549742278728822,0.06801948177547724,0.4727568376150442,0.146297441422798,0.7387836567494406,0.07730490037648653,0.4593500805947356,0.12488365698885048,1,0
60km,0.5405405405405406,60.0,10883,0.7382120717954801,0.07333712780508456,0.41964629517700763,0.1533294170969642,0.7285942100160447,0.08778837343106133,0.4343145573203662,0.14313637198510915,0,0
60km,0.5405405405405406,60.0,44036,0.7456786821728,0.05658999692140887,0.45580601368649026,0.13370137515943592,0.7275216242172203,0.07384349524452848,0.4345021116128933,0.10254827713976579,0,0
60km,0.5405405405405406,60.0,5621,0.7540259013636834,0.05611545539579577,0.47471755969138607,0.13402807504431793,0.739845986225593,0.08239380626936939,0.4667663021682702,0.1530918160881367,1,0
60km,0.5405405405405406,60.0,21924,0.7455336265817113,0.07576244614605901,0.44074665835097554,0.12619992330338925,0.7340705521898825,0.08831043291499083,0.4493514542502527,0.13544887330804753,0,0
60km,0.5405405405405406,60.0,22830,0.7458663561743094,0.071217081867342,0.4815975408849312,0.14282439634314914,0.7336074109518333,0.08332013080850383,0.4291006905711369,0.1129736942794461,0,0
60km,0.5405405405405406,60.0,41287,0.7254593842432826,0.056542107329845624,0.41766315130600135,0.11332524399878705,0.7260770808417694,0.07397673207095433,0.4289170751000538,0.11950913097666756,0,0
60km,0.5405405405405406,60.0,17010,0.719527637055317,0.065051192966012,0.45201666195837226,0.15472015565674863,0.7200134156000219,0.0965482308538154,0.4408139590383156,0.1672068388765872,0,0
60km,0.5405405405405406,60.0,27291,0.7404035483516777,0.06338657502787601,0.4307790379472828,0.1227675570086817,0.7256692991568492,0.07684271697230691,0.4414386290206741,0.11603683164910412,0,0
60km,0.5405405405405406,60.0,20828,0.7357763138450616,0.06783623014466762,0.4263716024838705,0.1288073012150539,0.7298735342286765,0.08125709435236729,0.44761019173088573,0.13864334780645843,0,0
60km,0.5405405405405406,60.0,25916,0.7460463616773708,0.0784127660492789,0.47141051507242837,0.15550144467385377,0.72797984382965,0.08175359650887408,0.4563399967089169,0.13654693556448336,0,0
60km,0.5405405405405406,60.0,8971,0.748805501405479,0.05663664237997197,0.466216924856573,0.133211818719645,0.7438168199917248,0.08239587241970922,0.48651054960796325,0.13059044141300166,0,0
60km,0.5405405405405406,60.0,26138,0.7405077333227676,0.0650137655375542,0.4340158596559432,0.1295481082504977,0.7190209945693612,0.08604942314223327,0.42774099740844546,0.11183256973605264,0,0
60km,0.5405405405405406,60.0,32581,0.7531021887930415,0.06341600854315212,0.4869975303054316,0.1437757897430155,0.7362255996838234,0.08631199978131983,0.45214609598538863,0.1428264221548877,1,0
60km,0.5405405405405406,60.0,36226,0.7548474444586859,0.06243863136056224,0.48499900852572486,0.14397342714931008,0.7362900820125597,0.07656336942621991,0.4456769641904982,0.10618293858986216,1,0
60km,0.5405405405405406,60.0,33850,0.7200448840601847,0.06245885535172272,0.46221149676365414,0.13086286171776468,0.7174046385235135,0.08487039122712292,0.4253221335511223,0.11470677875520226,0,0
60km,0.5405405405405406,60.0,39446,0.7343620972375302,0.08519101055106165,0.4510712126410432,0.1600985374862059,0.7423827613346802,0.1122453933554823,0.4725626888908142,0.17711858580042894,0,0
60km,0.5405405405405406,60.0,41432,0.7350120056133352,0.06729442024056179,0.41760842427231415,0.12233182311642862,0.7390006621989281,0.08411515185873314,0.4645976714612283,0.14605460808348197,0,0
60km,0.5405405405405406,60.0,11903,0.7373781168706248,0.06866889732633844,0.4243610521530433,0.14161003014462337,0.7315255994226117,0.07601471388803435,0.4213017209271408,0.11861085104956642,0,0
